cr2020-04-09-062816_Weises_Netzteil_Kabel_mit_Druckschalter.txt
Weises Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After 475.5 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 477.9 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 480.3 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 481.5 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 485.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 486.2 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 489.8 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 491.0 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 493.4 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 494.6 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 497.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 498.1 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 500.5 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.3500V | Frequency: 0.60GHz
Core data - After 501.7 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 502.9 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 506.5 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 516.0 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 517.2 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
