data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After 398.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  59%  | [ 59%, 59%, 59%, 59%]
Core data - After 408.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
Core data - After 418.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 428.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  81.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
Core data - After 438.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  81.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
Core data - After 448.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  81.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
Core data - After 452.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  81.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 453.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 454.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 455.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 457.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 458.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 460.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 461.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 463.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 464.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 466.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 467.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 468.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 469.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 471.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 472.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 474.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 475.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 476.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 478.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 479.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
