data/cr2020-04-09-213141_Weisses_Ladegerat_Kabel_mit_Druckschalter_schwarz.txt
Weisses Ladegerät, Kabel mit Druckschalter schwarz
Core data - After   0.0 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 1.40GHz | Load: 37%  | [ 60%,  34%,  30%,  25%]
Core data - After  33.7 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   0%]
Core data - After  44.9 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   1%]
Core data - After  56.2 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  2%  | [  5%,   3%,   2%,   1%]
Core data - After  67.4 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   3%,   3%,   1%]
Core data - After  78.6 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   1%]
Core data - After  86.5 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   1%]
Core data - After  87.6 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  8%  | [ 22%,   5%,   4%,   0%]
Core data - After  88.7 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  8%  | [ 16%,   9%,   5%,   1%]
Core data - After  89.8 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 46.2°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  7%  | [ 11%,  10%,   4%,   4%]
Core data - After 101.1 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.1°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   2%,   1%]
Core data - After 112.3 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   3%,   2%]
Core data - After 123.5 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   2%,   2%]
Core data - After 134.7 seconds | CPU:  ok | Voltage:  ok | arm freq:     ok | throttled:  no | Soft temp limit: inactive | Temp: 45.6°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   3%,   3%,   1%]
Core data - After 145.9 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 45.1°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   2%,   1%]
Core data - After 147.1 seconds | CPU: NOK | Voltage: low | arm freq:     ok | throttled: yes | Soft temp limit: inactive | Temp: 45.1°C | Volt:  1.2000V | Freq: 0.60GHz | Load:  7%  | [ 13%,   9%,   4%,   3%]
