data/cr2020-04-09-144144_Weisses_Ladegerat_schwarzes_Kabel_mit_Druckschalter.txt
Weisses Ladegerät, schwarzes Kabel mit Druckschalter
Core data - After   0.0 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  5%,   3%,   3%,   2%]
Core data - After  83.9 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  7%,   4%,   4%,   3%]
Core data - After  89.5 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  4%,   4%,   3%,   2%]
Core data - After 100.7 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   4%,   1%]
Core data - After 111.8 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.3500V | Freq: 1.40GHz | Load:  4%  | [  5%,   4%,   4%,   3%]
Core data - After 123.0 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   3%,   1%]
Core data - After 134.2 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   4%,   3%,   2%]
Core data - After 143.2 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   4%,   2%,   1%]
Core data - After 144.3 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.2°C | Volt: 1.2000V | Freq: 0.60GHz | Load:  5%  | [ 10%,   8%,   2%,   2%]
Core data - After 145.4 seconds | CPU: ok | Voltage: ok | arm freq: ok | throttled: no | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 1.40GHz | Load:  5%  | [  9%,   9%,   3%,   2%]
Core data - After 155.4 seconds | CPU: NOK | Voltage: low | arm freq: ok | throttled: yes | Soft temp limit: inactive | Temp: 47.8°C | Volt: 1.2000V | Freq: 0.60GHz | Load: 14%  | [ 17%,  16%,  15%,   8%]
