cr2020-04-08-225035_Samsung_schwarz_Netzteil_Kabel_mit_Druckschalter.txt
Samsung schwarz Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After 405.3 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 411.3 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 416.0 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 420.8 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 424.4 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 425.6 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 429.2 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 430.4 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 1.40GHz
Core data - After 431.6 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 432.8 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 436.3 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 439.9 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 441.1 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 443.5 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 444.7 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 445.9 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 1.40GHz
Core data - After 447.1 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 448.3 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 451.8 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 453.0 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 454.2 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 455.4 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 456.6 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 457.8 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 459.0 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 461.4 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 463.7 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 464.9 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 467.3 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 469.7 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 472.1 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 475.6 seconds  | Throttled: 1010000000000000101 | Temperature: 52.6'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 476.8 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 1.40GHz
Core data - After 478.0 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 479.2 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 480.4 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.3500V | Frequency: 0.60GHz
Core data - After 481.6 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 488.7 seconds  | Throttled: 1010000000000000101 | Temperature: 53.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 489.9 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 509.1 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 510.3 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 519.9 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.3500V | Frequency: 0.60GHz
Core data - After 521.1 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 522.3 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 523.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 524.7 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 525.8 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 527.0 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 530.6 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 531.8 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 533.0 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 534.2 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
