cr2020-04-08-105232_Samsung_Ladegerat_altes_Kabel.txt
Samsung Ladegerät, altes Kabel running for 10.0 minutes
Core data - After 495.7 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 496.9 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 499.2 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 500.4 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 501.5 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 502.7 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 503.9 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 505.1 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 506.2 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 507.4 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 509.7 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 513.3 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 514.4 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 515.6 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 516.7 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 517.9 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 520.3 seconds  | Throttled: 10000000000000001000 | Temperature: 69.8'C | Voltage: 1.2500V | Frequency: 1.20GHz
