data/cr2020-04-09-125646_Weisses_Ladegerat_schwarzes_Kabel_mit_Druckschalter.txt
Weisses Ladegerät, schwarzes Kabel mit Druckschalter
Core data - After   0.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  0%  | [  0%,   0%,   0%,   0%]
Core data - After 123.4 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 43.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  7%,   4%,   1%,   0%]
Core data - After 134.6 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   4%,   1%,   1%]
Core data - After 145.9 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  4%  | [  6%,   5%,   3%,   3%]
Core data - After 157.1 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  6%,   3%,   3%,   1%]
Core data - After 168.3 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  5%,   3%,   3%,   2%]
Core data - After 179.5 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   3%,   2%,   2%]
Core data - After 190.7 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   3%,   3%,   2%]
Core data - After 201.9 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.5'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   2%,   1%]
Core data - After 213.1 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  2%  | [  3%,   3%,   3%,   2%]
Core data - After 224.3 seconds  | CPU: not ok | Voltage: low | arm freq: ok | throttled: throttled | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   3%,   1%]
Core data - After 235.5 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  5%,   3%,   3%,   2%]
Core data - After 246.7 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   2%,   2%]
Core data - After 258.0 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  6%,   4%,   3%,   1%]
Core data - After 269.2 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 0.60GHz | Load:  3%  | [  6%,   3%,   3%,   1%]
Core data - After 280.4 seconds  | CPU: ok | Voltage: ok | arm freq: ok | throttled: ok | Soft temp limit: inactive | Temp: 44.0'C | Volt: 1.2000V | Freq: 1.40GHz | Load:  3%  | [  6%,   3%,   2%,   1%]
